Numero,Fecha,Boleta,Tipo,Precio actual,Precio final,Estado
0,2011-08-02 06:45:37,1312292737,a,54.36,16.18,Alto
1,2013-05-14 00:28:58,1368516538,a,44.12,13.75,Bajo
2,2013-09-06 06:09:52,1378472992,a,56.39,17.74,Bajo
3,2004-04-13 04:20:10,1081855210,aa,0.595,24.92,Bajo
4,2004-09-09 16:15:45,1094771745,aa,0.561,20.88,Bajo
5,2004-11-24 10:37:20,1101321440,aa,0.53,21.15,Bajo
6,2004-12-05 00:36:42,1102235802,aa,0.53,20.69,Bajo
7,2005-01-13 07:18:32,1105629512,aa,0.457,18.43,Bajo
8,2005-02-07 03:48:37,1107776917,aa,0.457,18.39,Bajo
9,2011-09-03 09:21:23,1315066883,aa,48.26,13.78,Bajo
10,2011-11-02 22:04:47,1320296687,aa,50.93,11.23,Bajo
11,2011-11-05 21:29:24,1320553764,aa,50.93,11.47,Bajo
12,2012-01-02 19:42:06,1325562126,aa,50.93,9.08,Bajo
13,2012-05-19 11:51:52,1337453512,aa,55.28,23.1,Bajo
14,2013-04-23 20:02:57,1366772577,aa,53.21,36.21,Bajo
15,2013-04-26 20:55:15,1367034915,aa,53.21,36.92,Bajo
16,2004-06-03 01:20:38,1086250838,aapl,2.921,63.7,Alto
17,2004-08-10 02:02:44,1092128564,aapl,2.917,54.4,Alto
18,2004-10-12 05:40:57,1097584857,aapl,2.917,69.28,Alto
19,2004-12-04 14:16:51,1102198611,aapl,2.632,88.41,Alto
20,2005-01-26 15:16:47,1106781407,aapl,2.581,57.83,Alto
21,2005-02-04 03:07:08,1107515228,aapl,2.581,62.55,Alto
22,2005-03-01 10:36:03,1109702163,aapl,2.581,72.01,Alto
23,2013-08-11 02:30:32,1376213432,aapl,13.75,11.33,Alto
24,2013-06-19 09:57:38,1371661058,abbv,512.61,12.88,Bajo
25,2004-01-28 07:37:34,1075304254,abc,0.429,14.1,Bajo
26,2004-05-16 19:24:15,1084760655,abc,0.412,14.05,Bajo
27,2004-10-20 01:31:26,1098261086,abc,0.331,12.13,Bajo
28,2005-01-08 07:45:42,1105199142,abc,0.332,14.25,Bajo
29,2005-03-30 19:52:42,1112237562,abc,0.291,14.67,Bajo
30,2005-05-26 01:50:44,1117097444,abc,0.23,19.23,Bajo
31,2011-07-08 00:04:15,1310108655,abc,42.86,17.89,Bajo
32,2012-02-28 18:01:38,1330480898,abc,66.41,14.57,Bajo
33,2013-04-25 01:02:00,1366876920,abc,59.73,19.22,Bajo
